exp_id,script,response,vessel_scope,family,engine,method,formula,spatial_term,k_spec,tweedie_p_est,score_name,score_value,AIC,BIC,deviance_explained_pct,n_obs,total_edf,max_pairwise_concurvity,dharma_dispersion_p,dharma_zeroinflation_p,dharma_spatial_autocorr,dharma_temporal_autocorr,k_index_min,k_p_min,convergence_status,runtime_sec,notes
"M0a_spatial_re","01_buildup_tweedie.R","nOprD_CO","CARGO+OTHER","tw()","bam","fREML","s(month, bs = ""cc"", k = 12) + s(time_index, bs = ""ps"", m = c(2, 2), k = 10) + s(hexID, bs = ""re"")","s(hexID, bs = ""re"")","cc12;trend10;re(hex)",1.3446,"fREML",1029983.3,2033024.27,2103058.71,79.74,461448,6339.96,NA,0,0,0,0,0.869,0.01,"converged",0,"Baseline; spatial = i.i.d. hex random effect s(hexID, bs='re'). (~20-min RE fit; reused from cache if present.)"
"M0b_spatial_te","01_buildup_tweedie.R","nOprD_CO","CARGO+OTHER","tw()","bam","fREML","s(month, bs = ""cc"", k = 12) + s(time_index, bs = ""ps"", m = c(2, 2), k = 10) + te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20))","te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20))","cc12;trend10;te20x20",1.5042,"fREML",1129647.57,2254838.57,2258523.56,61.37,461448,330.21,1,0,0,0,0,0.69,0,"converged",0,"Baseline; spatial = tensor-product P-spline te(centroid_x,centroid_y)."
"M1_ice","01_buildup_tweedie.R","nOprD_CO","CARGO+OTHER","tw()","bam","fREML","s(month, bs = ""cc"", k = 12) + s(time_index, bs = ""ps"", m = c(2, 2), k = 10) + te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20)) + s(ice_conc, bs = ""ps"", m = c(2, 2), k = 20)","te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20))","cc12;trend10;te20x20;ice ps20",1.5073,"fREML",1104833.88,2205035.33,2208934.98,65.71,461448,349.69,1,0,0,0,1.394e-06,0.669,0,"converged",0,"Add s(ice_conc, ps, k20). Sea-ice is the primary covariate."
"M2a_air_temp","01_buildup_tweedie.R","nOprD_CO","CARGO+OTHER","tw()","bam","fREML","s(month, bs = ""cc"", k = 12) + s(time_index, bs = ""ps"", m = c(2, 2), k = 10) + te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20)) + s(ice_conc, bs = ""ps"", m = c(2, 2), k = 20) + s(air_temp, bs = ""ps"", m = c(2, 2), k = 20)","te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20))","...;temp(raw) ps20",1.5056,"fREML",1101408.24,2198106.88,2202180.33,66.26,461448,365.05,1,0,0,0,1.154e-05,0.669,0,"converged",0,"Add s(air_temp): RAW temperature -- expected to be concurvy with ice."
"M2b_air_temp_resid","01_buildup_tweedie.R","nOprD_CO","CARGO+OTHER","tw()","bam","fREML","s(month, bs = ""cc"", k = 12) + s(time_index, bs = ""ps"", m = c(2, 2), k = 10) + te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20)) + s(ice_conc, bs = ""ps"", m = c(2, 2), k = 20) + s(air_temp_resid, bs = ""ps"", m = c(2, 2), k = 20)","te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20))","...;temp(resid) ps20",1.5052,"fREML",1101794.25,2198874.32,2202940.13,66.21,461448,364.33,1,0,0,0,3.834e-06,0.677,0,"converged",0,"Add s(air_temp_resid): ICE-ORTHOGONALISED temperature -- CARRIED FORWARD."
"M3_wind","01_buildup_tweedie.R","nOprD_CO","CARGO+OTHER","tw()","bam","fREML","s(month, bs = ""cc"", k = 12) + s(time_index, bs = ""ps"", m = c(2, 2), k = 10) + te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20)) + s(ice_conc, bs = ""ps"", m = c(2, 2), k = 20) + s(air_temp_resid, bs = ""ps"", m = c(2, 2), k = 20) + s(wind_speed, bs = ""ps"", m = c(2, 2), k = 20)","te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20))","...;wind ps20",1.505,"fREML",1101340.82,2197859.39,2202110.88,66.3,461448,381.02,1,0,0,0,2.308e-06,0.67,0,"converged",0,"Add s(wind_speed, ps, k20)."
"M4_port","01_buildup_tweedie.R","nOprD_CO","CARGO+OTHER","tw()","bam","fREML","s(month, bs = ""cc"", k = 12) + s(time_index, bs = ""ps"", m = c(2, 2), k = 10) + te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20)) + s(ice_conc, bs = ""ps"", m = c(2, 2), k = 20) + s(air_temp_resid, bs = ""ps"", m = c(2, 2), k = 20) + s(wind_speed, bs = ""ps"", m = c(2, 2), k = 20) + s(port_dist, bs = ""ps"", m = c(2, 2), k = 20)","te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20))","...;port(km) ps20",1.5002,"fREML",1097155.73,2189423.72,2193877.81,67.04,461448,399.32,1,0,0,0,3.729e-06,0.676,0,"converged",0,"Add s(port_dist, ps, k20). Distance in km (log alt. noted). ENDOGENEITY caveat: ports sit where traffic already concentrates."
"M5_post2017","01_buildup_tweedie.R","nOprD_CO","CARGO+OTHER","tw()","bam","fREML","s(month, bs = ""cc"", k = 12) + s(time_index, bs = ""ps"", m = c(2, 2), k = 10) + te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20)) + s(ice_conc, bs = ""ps"", m = c(2, 2), k = 20) + s(air_temp_resid, bs = ""ps"", m = c(2, 2), k = 20) + s(wind_speed, bs = ""ps"", m = c(2, 2), k = 20) + s(port_dist, bs = ""ps"", m = c(2, 2), k = 20) + post2017","te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20))","...;post2017 (parametric)",1.5002,"fREML",1097141.12,2189386.81,2193852.12,67.04,461448,400.33,1,0,0,0,5.702e-07,0.677,0,"converged",0,"Add parametric post2017 (regulatory step on top of the smooth trend). FINAL mean predictor."
"D_tw","02_distribution_comparison.R","nOprD_CO","CARGO+OTHER","tw()","bam","fREML","s(month, bs = ""cc"", k = 12) + s(time_index, bs = ""ps"", m = c(2, 2), k = 10) + te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20)) + s(ice_conc, bs = ""ps"", m = c(2, 2), k = 20) + s(air_temp_resid, bs = ""ps"", m = c(2, 2), k = 20) + s(wind_speed, bs = ""ps"", m = c(2, 2), k = 20) + s(port_dist, bs = ""ps"", m = c(2, 2), k = 20) + post2017","te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20))","final M5 predictor; te20x20; covariates ps20",1.5002,"fREML",1097141.12,2189386.81,2193852.12,67.04,461448,400.33,1,0,0,0,5.702e-07,0.645,0,"converged",0,"Tweedie at final predictor; p estimated. Same response/scale as nb -> AIC/BIC comparable."
"D_nb","02_distribution_comparison.R","nOprD_CO","CARGO+OTHER","nb()","bam","fREML","s(month, bs = ""cc"", k = 12) + s(time_index, bs = ""ps"", m = c(2, 2), k = 10) + te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20)) + s(ice_conc, bs = ""ps"", m = c(2, 2), k = 20) + s(air_temp_resid, bs = ""ps"", m = c(2, 2), k = 20) + s(wind_speed, bs = ""ps"", m = c(2, 2), k = 20) + s(port_dist, bs = ""ps"", m = c(2, 2), k = 20) + post2017","te(centroid_x, centroid_y, bs = ""ps"", k = c(20, 20))","final M5 predictor; te20x20; covariates ps20",NA,"fREML",1026360.17,2048217.45,2052633.57,65.87,461448,395.18,1,0,0,0,0.01828,0.706,0,"converged",0,"Negative binomial at final predictor. Same response/scale as tw -> AIC/BIC comparable."
