exp_id,term,edf,ref_df,statistic,p_value,k_prime,k_index,k_check_p
"M0a_spatial_re","s(month)",9.894,10,19205.991,0,10,0.872,0.0075
"M0a_spatial_re","s(time_index)",8.571,8.919,181.573,0,9,0.858,0
"M0a_spatial_re","s(hexID)",6320.496,6409,310.197,0,6409,NA,NA
"M0a_spatial_re","(Intercept)",1,1,32.155,1.34e-226,NA,NA,NA
"M0b_spatial_te","s(month)",9.74,10,2470.756,0,10,0.836,0.115
"M0b_spatial_te","s(time_index)",8.304,8.791,108.358,0,9,0.812,0
"M0b_spatial_te","te(centroid_x,centroid_y)",311.166,314.246,2952.82,0,399,0.664,0
"M0b_spatial_te","(Intercept)",1,1,-0.277,0.7819,NA,NA,NA
"M1_ice","s(month)",9.69,10,607.063,0,10,0.868,0.475
"M1_ice","s(time_index)",8.753,8.973,129.842,0,9,0.842,0.0175
"M1_ice","te(centroid_x,centroid_y)",311.43,314.409,2712.635,0,399,0.659,0
"M1_ice","s(ice_conc)",18.814,18.991,3818.923,0,19,0.851,0.085
"M1_ice","(Intercept)",1,1,-0.691,0.4895,NA,NA,NA
"M2a_air_temp","s(month)",9.492,10,99.314,0,10,0.865,0.4075
"M2a_air_temp","s(time_index)",8.832,8.987,117.889,0,9,0.84,0.005
"M2a_air_temp","te(centroid_x,centroid_y)",311.544,314.487,2463.59,0,399,0.661,0
"M2a_air_temp","s(ice_conc)",18.597,18.96,1431.381,0,19,0.852,0.115
"M2a_air_temp","s(air_temp)",15.584,16.235,617.221,0,19,0.873,0.7075
"M2a_air_temp","(Intercept)",1,1,-0.634,0.5259,NA,NA,NA
"M2b_air_temp_resid","s(month)",9.279,10,62.611,0,10,0.865,0.4375
"M2b_air_temp_resid","s(time_index)",8.833,8.987,129.64,0,9,0.84,0.01
"M2b_air_temp_resid","te(centroid_x,centroid_y)",311.498,314.449,2492.582,0,399,0.656,0
"M2b_air_temp_resid","s(ice_conc)",18.879,18.996,3072.882,0,19,0.852,0.13
"M2b_air_temp_resid","s(air_temp_resid)",14.839,15.741,550.095,0,19,0.872,0.6475
"M2b_air_temp_resid","(Intercept)",1,1,-0.785,0.4322,NA,NA,NA
"M3_wind","s(month)",8.994,10,71.125,0,10,0.864,0.4025
"M3_wind","s(time_index)",8.848,8.99,143.853,0,9,0.84,0.01
"M3_wind","te(centroid_x,centroid_y)",311.46,314.419,2441.289,0,399,0.669,0
"M3_wind","s(ice_conc)",18.871,18.996,2651.354,0,19,0.85,0.0925
"M3_wind","s(air_temp_resid)",14.754,15.668,478.142,0,19,0.871,0.6075
"M3_wind","s(wind_speed)",17.096,17.559,88.664,0,19,0.865,0.4025
"M3_wind","(Intercept)",1,1,-0.229,0.8189,NA,NA,NA
"M4_port","s(month)",9.03,10,83.695,0,10,0.867,0.435
"M4_port","s(time_index)",8.862,8.991,145.579,0,9,0.843,0.005
"M4_port","te(centroid_x,centroid_y)",310.763,313.88,2068.071,0,399,0.662,0
"M4_port","s(ice_conc)",18.867,18.995,2701.108,0,19,0.855,0.105
"M4_port","s(air_temp_resid)",14.76,15.673,496.508,0,19,0.879,0.7675
"M4_port","s(wind_speed)",17.139,17.598,109.904,0,19,0.868,0.41
"M4_port","s(port_dist)",18.893,18.991,611.885,0,19,0.772,0
"M4_port","(Intercept)",1,1,-2.171,0.02995,NA,NA,NA
"M5_post2017","s(month)",9.054,10,77.558,0,10,0.868,0.44
"M5_post2017","s(time_index)",8.86,8.991,102.984,0,9,0.843,0.005
"M5_post2017","te(centroid_x,centroid_y)",310.763,313.879,2067.608,0,399,0.669,0
